node	pagerank
6376	0.00041103
6311	0.00041082
744	0.00041070
7818	0.00041070
3937	0.00041064
9922	0.00041000
9487	0.00040993
5514	0.00040967
2704	0.00040906
5168	0.00040882
6748	0.00040828
878	0.00040813
4903	0.00040784
4835	0.00040767
8843	0.00040725
4834	0.00040702
42	0.00040680
9551	0.00040677
5464	0.00040659
9977	0.00040620
1344	0.00040618
2938	0.00040618
9353	0.00040491
6740	0.00040457
936	0.00040363
9179	0.00040317
7056	0.00040247
2298	0.00040229
8589	0.00040205
3891	0.00040193
4649	0.00040141
9155	0.00040086
7204	0.00040074
9237	0.00040055
3705	0.00040021
4333	0.00040008
4712	0.00040002
5794	0.00039928
9173	0.00039924
7163	0.00039856
699	0.00039737
8494	0.00039720
202	0.00039710
9579	0.00039599
5520	0.00039542
3043	0.00039529
1420	0.00039335
9675	0.00039267
9707	0.00039258
2711	0.00039222
4400	0.00039193
5424	0.00039098
8614	0.00039038
3342	0.00039020
845	0.00039005
4276	0.00038988
9705	0.00038891
8793	0.00038856
6284	0.00038826
693	0.00038820
5362	0.00038803
7391	0.00038802
8622	0.00038790
6495	0.00038760
3846	0.00038673
8840	0.00038665
8537	0.00038636
9032	0.00038529
8560	0.00038456
5956	0.00038455
4460	0.00038447
3878	0.00038416
4743	0.00038405
3485	0.00038404
9528	0.00038384
8700	0.00038356
5200	0.00038305
8433	0.00038284
7043	0.00038211
4511	0.00038116
8882	0.00038116
8397	0.00038105
7872	0.00038098
84	0.00038067
3385	0.00037986
9366	0.00037923
2504	0.00037907
8584	0.00037525
3111	0.00037458
4933	0.00037367
6652	0.00037312
7933	0.00037297
887	0.00037288
8379	0.00037273
9080	0.00037201
4853	0.00037159
6520	0.00037107
6337	0.00037058
2798	0.00037036
4352	0.00037031
8933	0.00037030
5411	0.00036909
3371	0.00036905
2986	0.00036813
1226	0.00036758
7924	0.00036721
9181	0.00036718
2683	0.00036701
916	0.00036646
5105	0.00036555
990	0.00036446
6092	0.00036290
588	0.00036246
841	0.00036191
6406	0.00036012
8474	0.00035964
5500	0.00035943
9305	0.00035943
3475	0.00035877
1342	0.00035873
8836	0.00035816
8395	0.00035802
9064	0.00035729
3770	0.00035652
2885	0.00035646
8824	0.00035638
441	0.00035586
3261	0.00035504
7428	0.00035434
9227	0.00035426
2385	0.00035308
